Optimizer,Epochs,Batch Size,Test Accuracy,Test Loss,Final Training Accuracy,Final Validation Accuracy
Adagrad,5,32,0.9728000164031982,0.08407104015350342,0.9828125238418579,0.9744166731834412
Adagrad,5,64,0.967199981212616,0.1040319949388504,0.9728541374206543,0.9683333039283752
Adagrad,5,128,0.9603000283241272,0.1342587023973465,0.9595416784286499,0.9615833163261414
Adagrad,10,32,0.9793999791145325,0.07504566758871078,0.9973958134651184,0.9768333435058594
Adagrad,10,64,0.9749000072479248,0.08184263855218887,0.9909791946411133,0.9726666808128357
Adagrad,10,128,0.9718000292778015,0.09091567993164062,0.9816041588783264,0.9699166417121887
Adagrad,15,32,0.9787999987602234,0.08713829517364502,0.999875009059906,0.9752500057220459
Adagrad,15,64,0.9779999852180481,0.0736222118139267,0.9972083568572998,0.9760833382606506
Adagrad,15,128,0.9751999974250793,0.07947525382041931,0.9904583096504211,0.9742500185966492
RMSprop,5,32,0.9800000190734863,0.10528730601072311,0.9826250076293945,0.9777500033378601
RMSprop,5,64,0.973800003528595,0.10962889343500137,0.9879375100135803,0.9735000133514404
RMSprop,5,128,0.975600004196167,0.09472911804914474,0.9881250262260437,0.9729166626930237
RMSprop,10,32,0.9758999943733215,0.2708510756492615,0.9915833473205566,0.9758333563804626
RMSprop,10,64,0.9804999828338623,0.1237853392958641,0.9940000176429749,0.9774166941642761
RMSprop,10,128,0.9786999821662903,0.11856023967266083,0.995479166507721,0.9780833125114441
RMSprop,15,32,0.9778000116348267,0.33122920989990234,0.9949791431427002,0.9760833382606506
RMSprop,15,64,0.9807000160217285,0.1460823267698288,0.9965000152587891,0.9774166941642761
RMSprop,15,128,0.9803000092506409,0.1241186261177063,0.9975416660308838,0.9818333387374878
Adam,5,32,0.9754999876022339,0.09625185281038284,0.9845625162124634,0.9726666808128357
Adam,5,64,0.974399983882904,0.08923672884702682,0.9872708320617676,0.9734166860580444
Adam,5,128,0.9728999733924866,0.09192541986703873,0.9882500171661377,0.9713333249092102
Adam,10,32,0.9812999963760376,0.09447295218706131,0.991937518119812,0.9789166450500488
Adam,10,64,0.9799000024795532,0.09387795627117157,0.9933750033378601,0.9775000214576721
Adam,10,128,0.9793999791145325,0.08824824541807175,0.9939583539962769,0.9780833125114441
Adam,15,32,0.9779000282287598,0.11766979098320007,0.9948124885559082,0.9797499775886536
Adam,15,64,0.9796000123023987,0.09592979401350021,0.9949374794960022,0.9760000109672546
Adam,15,128,0.9789000153541565,0.1006920263171196,0.9959583282470703,0.9762499928474426
SGD,5,32,0.9628999829292297,0.11918175220489502,0.9683958292007446,0.9647499918937683
SGD,5,64,0.9519000053405762,0.16016370058059692,0.9497708082199097,0.956083357334137
SGD,5,128,0.9366999864578247,0.21905849874019623,0.9294999837875366,0.937666654586792
SGD,10,32,0.9746000170707703,0.08200795948505402,0.9884374737739563,0.9733333587646484
SGD,10,64,0.9672999978065491,0.11058994382619858,0.9738125205039978,0.9671666622161865
SGD,10,128,0.954800009727478,0.15396998822689056,0.9559166431427002,0.9550833106040955
SGD,15,32,0.968500018119812,0.1062719002366066,0.9964791536331177,0.968416690826416
SGD,15,64,0.9736999869346619,0.08988125622272491,0.984416663646698,0.9714999794960022
SGD,15,128,0.9645000100135803,0.1201474741101265,0.9695833325386047,0.9660000205039978
