Id,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea
1461,20,80,11622,Inside,NAmes,1Fam,1Story,5,6,1961,Gable,882,896,2,5,730
1462,20,##,14267,Corner,NAmes,1Fam,1Story,6,6,1958,Hip,1329,1329,3,6,312
1463,60,74,13830,Inside,Gilbert,1Fam,2Story,,5,1997,Gable,928,1629,3,6,482
1464,60,78,9978,Inside,Gilbert,Na,?,6,6,1998,#,926,1604,3,7,470
1465,120,43,5005,Inside,StoneBr,TwnhsE,1Story,8,Nan,1992,Gable,1280,1280,2,5,506
1466,60,75,10000,Corner,Gilbert,1Fam,2Story,6,5,1993,Gable,763,1655,3,7,440
1467,20,NA,7980,Inside,Gilbert,1Fam,1Story,_,7,1992,Gable,1168,1187,3,6,420
1468,60,63,8402,Inside,Gilbert,1Fam,2Story,6,5,1998,Gable,789,1465,3,7,393
1469,20,85,10176,Inside,Gilbert,1Fam,1Story,7,5,1990,Gable,1300,1341,2,5,506
1470,20,70,8400,Corner,NAmes,1Fam,1Story,4,5,1970,Gable,882,882,2,4,525
1471,120,26,5858,FR2,NAmes,TwnhsE,1Story,7,5,1999,Gable,1405,1337,2,5,511
1472,160,21,1680,Inside,BrDale,Twnhs,2Story,6,5,1971,Gable,483,987,2,5,264
1472,160,21,1680,Inside,BrDale,Twnhs,2Story,5,5,1971,Gable,525,1092,3,6,320
1474,160,24,2280,FR2,NPkVill,Twnhs,2Story,6,6,1975,Gable,855,1456,3,6,440
1475,120,24,2280,FR2,NPkVill,Twnhs,1Story,7,6,1975,Gable,836,836,2,4,308
1476,60,102,12858,Inside,NridgHt,1Fam,2Story,9,5,2009,Gable,1590,2334,3,10,751
1477,20,94,12883,Corner,NridgHt,1Fam,1Story,8,5,2009,Gable,1544,1544,3,7,868
1478,20,90,11520,Inside,NridgHt,1Fam,1Story,9,5,2005,Hip,1698,1698,3,7,730
1479,20,79,14122,Inside,NridgHt,1Fam,1Story,8,5,2005,Hip,1822,1822,3,8,678
1480,20,110,14300,Inside,NridgHt,1Fam,1Story,9,5,2030,Hip,2846,2696,3,10,958
1481,60,105,13650,Corner,NridgHt,1Fam,2Story,,5,2002,Gable,1671,2250,3,7,756
1482,120,41,7132,Inside,NridgHt,TwnhsE,1Story,8,5,2006,Gable,1370,1370,2,6,484
1483,,100,18494,Corner,Gilbert,1Fam,1Story,6,5,2005,Gable,1324,1324,3,6,430
